name,In Nepali,meaning
Darsana ,दर्शना,"Please advise us the meaning of this name(सम्मान, मार्ग दर्सन गर्ने नारी"
Deepika; Dipika ,दिपिका,A lamp(टुक्की - नेपालमा loadshedding को बेला काम लाग्छ
Deepti ,दीप्ति,"Flame; Lustre(आगो, दियो"
Deriya ,देरिया,Please Add the Meaning of this Name.(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Devina Resembling a goddess,भगवानको अर्को रुप,
Devyani Daughter of Shukraacharya,Shukraacharya भन्नेको हो थाहा भएमा Edit गर्नुहोला,
Deya ,देया,Please advise us the meaning of the name.(कृपयायो नामको अर्थ हलिदिनुहोला !
Diksha ,दिक्षा,Initiation; The permission given by a teacher to use knowledge practically
Dipak ,दिपक,Deepak (दीपक
Dipashana ,दिपशाना,Lighting
Dipika ,दिपिका,no meaning yet
Dipika; Deepika A lamp,टुक्की - नेपालमा loadshedding को बेला काम लाग्छ,
Dipisa ,दिपिसा,Please advise us the meaning of this name!Also: Dipisha
Dipxita ,दिप्क्षिता,Dawn
Diti Wife of the sage Kashyap,Kashyap भन्नेको हो थाहा भएमा Edit गर्नुहोला,
Divena Blessing,आशिर्बाद,
Diya ,दिया,Light
Dristi Eyesight,तिखो नजर,
Sabina ,सबिना,"In Nepali: Musical instrument, Innocent
In Latin the meaning of the name Sabina is: A Sabine. Sabine means ""woman of the Sabine people"". The Sabines were an ancient people who lived in central Italy, their lands eventually taken over by the Romans after several wars."
Sabita ,सबिता,Beautiful sunshine
Sabnam ,सब्नम,Dew
Sachi ,सचि,Wife of God Indra(भगवान इन्द्रको श्रीमती
Sachika ,सचिका,Kind(दयालु
Sachina ,सचिना,no meaning yet
Sachita ,सचिता,Consciousness
Sadhya , सध्या,Perfection(पूर्णता
Sadikshya ,सदिक्ष्या,Good wishes
Safia ,सफिया,Chaste(स्वच्छ
Sagari ,सागरी,Of the ocean
Sagarika ,सागरिका,Wave; Born in the ocean
Saguna; Sagun ,"सगुन, सगुना",Possessed of good qualities(असल गुणहरू को नजिकै
Sahana ,साहना,A raga
Sahara ,सहारा,"In Arabic, Sahara means ""Dawn"". "
Sahiba ,सहिबा,Please advise us the meaning of Sahiba. 
Saisha ,सैशा,no meaning yet
Sajala ,सजाला,Clouds
Sajina ,सजिना,no meaning yet
Sajni ,सजनी,Beloved(तपाइको प्यारी
Sajwal ,सज्वल,no meaning yet
Sakshi ,साक्शी,Please advise us the meaning of Sakshi.
Salima ,सलिमा,Happy
Salina ,सलिना,"In Greek, it means ""Moon goddess"". "
Salma ,सल्मा,Peace
Saloni; Salouni Liar; Woman without love,कुरूप,
Salouni; Saloni ,सालोनी ,The Queen of Lies; Loveless woman(कुरूप
Salvika ,सल्विक,Please advise us the meaning of this name
Samapada ,"समपदा, संपदा",One who is Wealthy.
Sambridhi ,सम्ब्रिधि,Prosperity
Sameena ,समीना,Happy
Samiksha ,समिक्षा,Analysis; Appraisal 
Samikshya ,समिक्ष्या ,"Good, Pretty; Lovely; Love"
Samina ,समिना,no meaning yet
Samita ,समिता, Collected
Samjhana ,सम्झना,Remember the Beloved one
Sampada ,सम्पदा,Wealthy
Sampriti ,सम्प्रिती,Attachement
Samragaya ,सम्रगाया,no meaning yet
Samragya ,सम्राज्ञ,"It is originated from Sanskrit which means, ""The empress of an empire who is either ruling the empire as a monarch or the first(or only"
Samriddhi ,समृद्धि,Wealth and prosperity
Samrithi; Samriti ,"सम्रिथि, समृति",Meeting
Sanabi ,सनाबी,no meaning yet
"Sanam, Soniya ","सनम, सोनिया",no meaning yet
Sanchita ,संचिता,Collection
Sandesh ,संदेश,Message from someone special.
Sandhaya ,सन्ध्या,Beautiful evening.
Sandhya ,सन्ध्या ,Twilight
Sandhya; Sandya ,संध्या,Evening
Sangam ,संगम,"A confluence of rivers, especially that of the Ganges and Jumna at Allahabad."
Sangeeta ,संगीता,Sweet music; Melodious musicAlso: Sangita
Sangita ,संगीता,Music; Musical
Sanjana ,"संजना, सन्जना",Gentle
Sanskriti ,संस्कृति,Culture
Santoshi ,सन्तोषी,"Sontoshi is a goddess in the Hindu pantheon of whose veneration throughout Hinduism had only relatively recently commenced. She is venerated as ""the Mother of Happiness"", the meaning of her name.(कृपयायो नामको अर्थ हलिदिनुहोला !"
Sara ,सारा,Wholly; Entirely; Completely:
Sarada Goddess Saraswati,सरस्वति देवीको अर्को नाम,
Sarena ,सरेना,Please advise us a meaning of this name.
Sarina ,सरिना,"This is of Hebrew origin, which means Princess, One Who Laugh."
Sarju ,सर्जु,A Necklace; A Merchant
Sarvada ,सर्वदा,"Sarvada means ""Always""."
Sashi ,सशी ,Moon
Sashikala ,सशिकला,Moonlight; The phases of Moon
Saspika ,सस्पिका,no meaning yet
Savitri A form of the Devi,भगवान शिवको पहिलो श्रीमती,
Sawana ,सवाना,no meaning yet
Sayusha ,सयुषा,Advise us the meaning of this name.(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Seesam ,सीसम,Sweet and Simple
Sezal ,सेज़ल ,"Holy water; Pure Water, Water from holy river"
Shambhu ,शम्भु,Lord Shiva
Shanker ,शंकर,Lord Shiva; God of Destruction(भगवान शिव
Sharmila; sarmila ,शर्मिला,Happy; Shy
Shemfungma ,शेम्फुन्ग्मा,Scent of a rare flower.
Shikksha ,शिक्क्षा,Educated; Education; Knowledgeable 
Shivani Goddess Parvati,देवी पार्वतीको अर्को नाम,
Shivanne Goddess Parvati,देवी पार्वतीको अर्को नाम,
Shova ,शोवा,no meaning yet
Shreeshina ,श्रीशिना,no meaning yet
Shreeyam ,श्रीयम , Happiness and Wealth
Shreyashi ,श्रेयाशी,"Good, One who is most beautiful. Full of everything"
Shrijala ,श्रीजला,no meaning yet
Shrijana ,शृजना,"To create new things; Creation
Also: Srijana"
Shriya ,श्रीया,"Means ""Prosperity"", ""Auspicious"" or ""Lucky"" in Sanskrit.It is a name of Goddess Lakshmi."
Shrutima ,श्रुतिमा,no meaning yet
Shusant ,शुसांत,Quiet; Peaceful(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Sibani Goddess parvati,देवी पार्वतीको अर्को नाम,
Simran ,सिम्रन,Please advise us the meaning of this name!
Simrani ,सिमरानी,no meaning yet
Sindu ,"सिन्दु, सिंदु",no meaning yet
Sinthiya ,सिन्थिया,no meaning yet
Sipika ,सिपिका,Angel
Sirjana ,Creation,Creation; Life
Sita ,"सीता, सिता ",Wife of Rama
Slekha ,स्लेखा,Princess
Smerika ,स्मेरिका,no meaning yet
Sobana ,सोबना,Please advise us the name of Sobana.
Sofia ,सोफिया,"Borrowed from the Greek, Sofia is directly derived from Sophia which means wisdom and skill.Also: Sophia"
Solija ,सोलिजा,no meaning yet
Sostima ,"सोस्तिमा, सोस्तीमा",no meaning yet
Sourabhi Fragrance; the celestial cow,Calestial Cow कस्तो हुन्छ भनेर हुनुकोलागि कृपया google गर्नुहोला !,
Srigeeta ,सृगीता,The sacred Geeta (Holy book of Hindus
Srijana ,सृजना ,To create new things; Creation
Subhana ,सुभाना,no meaning yet
Subhanshi ,सुभंशी,Born in good time
Subina ,सुबिना ,Spiritually intense; Charming
Subisa ,सुबिसा,no meaning yet
Suchana ,सूचना,Apprisal; Notice; Take notice of(सूचना
Suchi Radiant,Radiant को Meaning google गर्नुहोला !,
Suchit ,सुचित,"Beauty, Handsome"
Sugam ,सुगम,Comfort; Happiness
Suhana ,सुहाना,Pleasant; Pure; Bright; Ray of the Sun; Charming; Good Wealth
Suhani ,सुहानी ,Beautiful; Beauty
Sujata ,सुजाता,no meaning yet
Sujita ,सुजिता," Auspicious victory, Victorious"
Sumana ,सुमना,Flower or good natured of woman
Sunaina ,सुनैना,One with a beautiful eyes
Sunuta ,सुनुता,no meaning yet
Suprabha Radiant,Radiant को Meaning google गर्नुहोला !,
Surangina ,सुरंगिना,no meaning yet
Surisha ,सुरिषा,A melodious voice
Susila ,Susi as a NN, (सुसिला
Susma ,"सुस्मा, सुष्मा",Sparkling Beauty; Beautiful Women
Suvhana ,सुव्हाना,Golden or Good Complexioned
Swasti ,स्वास्ति,Name of one of the star
Swastika ,स्वस्तिका,"An ancient symbol in the form of an equal-armed cross with each arm continued at a right angle, used"
Swati A nakshatra,Nakshatra को Meaning google गर्नुहोला !,
Sweeta ,स्वीता,no meaning yet
Sweta Fair complexioned,गहुगोरी,
Sweydhya ,स्वेय्ध्या,Please advise the meaning of this name.
Swikriti ,स्वीकृति ,Permission; Agree
Swopna ,सपना,Dream; Sweet Dream(सुन्दर र मिठो सपना
Swyami ,स्व्र्यमी,A male religious teacher.
Lakshita ,लक्षिता,"Distinguished, regarded; God gift"
Lakshmi Goddess of wealth,धनकि रानी वा देवी,
Lalita ,ललिता,"Variety; Beauty(लता, लहरा"
Lata ,लता,A creeper; A Bud of flower
Laxmi ,लक्ष्मी,"Goddess of WealthAlso: Lakshmi, Laksmi"
Layindraa ,लायिन्द्रा,no meaning yet
Leela ,लीला,no meaning yet
"Leela, Lila Divine play",दैवको खेल - तर राम्रो,
Leena ,लीना,Prosperity life; Soft & Gentle
Liha ,लिहा,no meaning yet
Lila; Leela ,लिला,Divine play(दैवको खेल - तर राम्रो
Lina; Leena ,लिना,Devoted
Lobsang ,लोबसाँग,no meaning yet
Lokisha ,लोकिषा,Goddess of People
Luniva ,लुनिवा,Golden Sun Shine. (Newari Girls Name
