name,In Nepali,meaning
Anchal ,अंचल,The decorative end of a sari
Anchita ,अन्चिता,"Honoured, Worshipped(पूजा"
Anisha ,"अनिशा, अनिषा",Continuous(निरन्तर
Anjala ,अन्जला,no meaning yet
Anjali ,अन्जली,Offering
Anjana ,अन्जना,no meaning yet
Anjila ,अन्जिला,no meaning yet
Anjita ,अन्जिता,Advise us the meaning of this name.(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Anju ,"अन्जु, अंजु",One who lives in heart(तपाइको मुटुमा बस्ने
Anjuli ,अन्जुली,Offering with both hands clasped
"Anjushri, Anjushree ",अन्जुश्री,Dear to one's heart(तपाइको मुटुको प्यारो टुक्रा
Ankita ,अंकिता,"Conquered, a signet, symbol"
Anu ,अनु,no meaning yet
Anupa ,अनुपा,Please advise us the meaning of this name!
Anupama ,अनुपमा,Unique; Unparalleled
Anusha ,कुरूप,"Beautiful morning, a star(सुन्दर बिहानी"
Anushka ,अनुष्का,Acceptance
Anushri ,अनुश्री,"Pretty(राम्री, चिटिक्क परेकी"
Anuska ,अनुष्का,Grace
Anusri ,अनुस्री,"Glorious, famous"
Anusuya ,अनुसुया,"Non jealous; Friend of Shakuntala or Wife of the sage ""Atri"". "
Aparna ,अपर्ण,Goddess Parvati(भगवान शिवको श्रीमती
Apikshya ,अपिक्ष्या,Wish
Apsara ,अप्सरा,Celestial maiden(आकाशीय प्रथम
Apshara ,आप्शरा,"A Fairy; Angel;
Female spirit of the clouds and waters in Hindu and Buddhist culture;
A mythological spirit of nature imagined as a beautiful maiden inhabiting rivers, woods, or other locations.Also: Apsara"
Aradhya ,आराध्य,Faith(श्रद्धा
Arati ,आरति,Hymns sang in praise of god( परमेश्वरको प्रशंसामा गाएको भजनहरू
Archana ,अर्चना,Worship
Archita , अर्चिता,One who is worshipped(जसको पुजा गरिन्छ
Arika ,अरिका ,Waterlily; Beautiful
Arishna ,अरिश्ना,no meaning yet
Arpana ,अर्पणा,"Dedicated; Gifted, donated; Offering(समर्पण"
Arpita ,अर्पित,Dedicate(समर्पण
Arti ,आरती,"Arti is a Hindu religious ritual of worship, a part of puja, in which light from wicks soaked in ghee (purified butter"
Arudhya ,अरुध्य,"In Sanskrit, it means ""First one"" or ""one worth worshiping"". "
Aruni ,अरुणि,Dawn(बिहानी
Ashma ,अश्मा,"Strength; Rock, Mountain of Rocks"
Ashmi ,आश्मी,Brave and Strong
Ashna ,अशना,"Friend(साथी, संगिनी, जीवन साथी"
Ashrina , अश्रिना,Royalty
Asita The river Yamuna,Yamuna भन्ने नेपालको खोला,
Aslisa ,अस्लिसा,no meaning yet
